NOME;ANO;IAA;IEG;IPS;IDA;IPP;IPV;IAN;INDE;PONTO_VIRADA;IDADE_ALUNO;PEDRA
ALUNO-212;2020;7.416679999999999;10.0;4.375;7.0;2.5;2.58334;10.0;6.345836;Não;8;Ágata
ALUNO-213;2020;9.000020000000001;9.7;5.0;9.0;8.749999999999998;7.833336666666668;5.0;8.081669333333334;Não;12;Ametista
ALUNO-215;2020;9.50002;9.3;7.5;10.0;7.8125;7.666665;10.0;8.874585000000002;Não;9;Topázio
ALUNO-216;2020;8.75001;0.0;5.625;7.4;0.0;0.0;10.0;5.960001;;18;Quartzo
ALUNO-217;2020;8.000020000000001;9.4;7.5;9.5;8.125;9.000005;10.0;8.942503;Sim;9;Topázio
ALUNO-219;2020;9.50002;7.9;8.75;5.0;8.4375;7.916665;10.0;7.832084999999999;Não;11;Ametista
ALUNO-222;2020;9.000020000000001;7.8;7.5;9.5;7.1875;8.25;10.0;8.478752;Não;8;Topázio
ALUNO-223;2020;9.000020000000001;5.2;6.875;5.0;8.541666666666668;8.055556666666668;5.0;6.59278;Não;10;Ágata
ALUNO-225;2020;9.58335;9.7;7.5;8.333333333333334;8.749999999999998;8.277783333333334;10.0;8.845558333333333;Não;14;Topázio
ALUNO-226;2020;8.500020000000001;7.4;5.625;7.5;8.125;8.222223333333332;10.0;7.849446666666667;Não;11;Ametista
ALUNO-227;2020;8.75001;3.0;7.5;6.333333333333333;7.8125;6.0416625;5.0;5.981250166666666;Não;15;Quartzo
ALUNO-229;2020;7.33334;7.8;7.5;0.0;7.916666666666668;7.777776666666667;5.0;5.890556;Não;10;Quartzo
ALUNO-230;2020;8.75001;6.1;4.375;2.333333333333333;5.833333333333333;4.611106666666667;5.0;5.0047223333333335;Não;14;Quartzo
ALUNO-231;2020;8.33334;3.7;5.0;4.333333333333333;7.03125;6.5833325;10.0;5.959792166666666;Não;16;Quartzo
ALUNO-235;2020;8.333350000000001;9.0;7.5;7.666666666666667;7.5;7.2916675;10.0;8.125001833333334;Não;12;Ametista
ALUNO-238;2020;9.000020000000001;8.4;5.0;4.0;5.625;7.75;5.0;6.492502;Não;13;Ágata
ALUNO-241;2020;9.000020000000001;8.8;6.25;9.5;2.5;6.75;5.0;7.285002;Não;11;Ametista
ALUNO-242;2020;9.000020000000001;7.4;6.25;5.5;7.1875;6.916665;5.0;6.707085000000001;Não;11;Ágata
