IAA;IEG;IPS;IDA;IPP;IPV;IAN;INDE;INDICADO_BOLSA
7.50002;8.602540834845735;8.125;8.833333333333332;5.625;8.083335;5.0;7.728843833635814;0
8.33334;6.992521367521367;7.5;6.5;6.71875;6.2916575;5.0;6.712044773504273;0
7.91667;6.25;6.875;6.111111111111112;7.5;7.4166675;5.0;6.684722722222222;0
10.00002;9.660714285714286;9.375;8.5;9.21875;9.75001;10.0;9.441521857142858;0
10.00002;9.419753086419751;7.5;7.166666666666666;5.833333333333334;8.27778;10.0;8.306175283950617;0
10.00002;8.237472766884531;8.75;8.333333333333332;5.625;8.25;5.0;7.901663220043574;0
6.91668;9.480259870064968;7.5;7.666666666666666;6.666666666666666;7.833336666666667;5.0;7.604387307346327;0
9.58335;7.463924963924963;7.5;3.666666666666667;7.34375;7.20833;10.0;7.110494326118326;0
6.83334;9.296296296296296;5.625;4.25;6.25;7.5;5.0;6.580093259259259;0
8.33334;7.402950310559007;8.125;6.655555555555555;7.5;8.833336666666666;5.0;7.474202506556246;0
7.91667;7.819047619047619;7.5;6.8;6.875;7.750005;5.0;7.202977523809524;0
9.000020000000001;8.838383838383837;7.5;6.25;6.458333333333334;8.444446666666666;5.0;7.502401434343434;1
9.50002;9.743589743589745;5.0;7.583333333333333;5.625;8.833335;5.0;7.744553615384616;0
9.16668;5.652169521654815;5.625;6.566666666666667;7.96875;7.1250025;5.0;6.644810737664296;0
9.58335;9.11793372319688;5.625;6.877777777777777;8.90625;9.0833375;10.0;8.427269800194932;0
5.833320000000001;3.004807692307692;7.5;3.555555555555556;6.71875;6.888886666666665;5.0;5.195056982905983;0
8.500020000000001;7.918575677196368;7.5;7.916666666666667;6.458333333333334;7.500003333333334;5.0;7.412884468772608;0
9.50002;9.26450742240216;7.5;5.416666666666666;5.625;7.66666;5.0;7.232068817813765;0
7.91667;8.467105263157894;7.5;7.0;7.5;5.58333;10.0;7.501754052631579;0
7.91667;8.520833333333332;7.5;7.055555555555556;7.8125;7.2916625;5.0;7.396527277777778;1
8.75001;10.0;7.5;7.25;7.5;7.2916625;5.0;7.7833335;1
9.000020000000001;8.475473801560758;5.0;1.666666666666666;6.25;7.444443333333333;5.0;6.042318760312152;0
7.08333;7.854166666666666;6.25;6.622222222222223;7.65625;7.416665;10.0;7.477568777777778;1
7.333340000000001;8.941798941798943;7.5;7.666666666666666;6.041666666666667;7.833333333333333;5.0;7.475860455026456;0
9.50002;8.903448275862068;5.625;6.0;5.625;7.749995;5.0;7.105690655172413;0
10.00002;9.392712550607287;7.5;7.25;5.625;8.58333;10.0;8.357710510121457;0
7.91668;4.952380952380953;7.5;4.0;5.625;8.083335;5.0;6.01131119047619;0
9.000020000000001;8.565610859728508;7.5;8.416666666666668;5.625;7.666665;5.0;7.642290505279036;0
10.00002;6.590752242926156;8.125;5.5;5.625;8.166665;10.0;7.426485448585232;0
9.16668;6.253787878787879;5.625;5.166666666666666;5.625;5.4166575;10.0;6.40909040909091;0
9.50002;7.748129063918538;7.5;8.766666666666666;5.3125;7.25;5.0;7.484211146117041;0
10.00002;9.333333333333332;7.5;5.75;6.25;7.61111;10.0;7.913890666666667;0
10.00002;8.38888888888889;7.5;9.416666666666668;6.5625;9.33334;5.0;8.334031111111113;1
9.16668;8.635443503864556;6.25;8.888888888888888;7.34375;7.249995;10.0;8.230908478550688;0
8.000020000000001;8.466810966810968;7.5;2.5;6.458333333333334;6.777773333333332;5.0;6.244752193362194;0
9.000020000000001;10.0;7.5;8.0;6.041666666666667;7.055549999999999;10.0;8.265278666666667;0
9.50002;6.818181818181817;7.5;6.0;6.666666666666666;8.444446666666668;10.0;7.619194363636365;1
9.000020000000001;8.033910533910534;7.5;5.166666666666667;5.416666666666667;6.888886666666665;10.0;7.209561440115441;0
9.000020000000001;8.468286099865047;7.5;7.333333333333333;4.0625;7.5;5.0;7.216575886639676;0
10.00002;7.932900432900433;7.5;5.5;5.625;6.833329999999998;5.0;6.865748086580086;0
9.000020000000001;9.45887445887446;5.625;6.083333333333333;5.0;7.166665;5.0;7.00427655844156;0
9.000020000000001;6.793942772203643;5.625;8.083333333333332;6.875;7.888893333333335;5.0;7.203235887774063;1
9.50002;7.489177489177488;8.125;9.266666666666666;5.625;7.91667;10.0;8.259504831168831;0
7.91667;8.75;4.375;6.75;7.03125;6.95833;10.0;7.423958;0
8.000020000000001;9.116541353383456;6.875;7.166666666666666;5.3125;7.583335;5.0;7.292060604010025;0
10.00002;9.153439153439152;5.625;5.75;7.1875;6.624995;5.0;7.086938830687831;0
9.000020000000001;4.75108225108225;5.0;2.416666666666667;5.625;6.833326666666666;5.0;5.262717116883117;0
10.00002;9.552042160737813;7.5;9.65;5.625;9.0;5.0;8.452910432147561;0
9.50002;7.218567251461989;5.625;7.25;5.625;7.416665;5.0;6.952048450292399;0
9.58335;8.068181818181818;7.5;5.166666666666667;7.5;6.166660000000001;10.0;7.338636696969697;0
10.00002;8.989820565907522;7.5;7.777777777777779;7.96875;8.41667;5.0;8.083730668737061;1
8.75001;6.444493006993008;5.0;5.111111111111111;7.03125;7.208335;5.0;6.330913823620824;0
8.33334;9.15703781512605;7.5;7.888888888888888;8.125;8.208335;5.0;7.946686340802987;1
9.50002;9.351851851851851;7.5;6.5;6.041666666666667;8.222223333333332;5.0;7.618983703703704;0
10.00002;9.717813051146384;5.0;9.0;6.875;8.94445;5.0;8.219954610229276;1
8.33334;8.436240842490841;6.875;7.900000000000001;8.125;8.125;10.0;8.225582168498168;0
8.75001;7.806870995242416;5.0;7.644444444444443;7.03125;7.2499975;10.0;7.618388587937373;0
10.00002;9.09722222222222;8.125;8.700000000000001;8.75;9.2916725;10.0;9.105280944444443;0
3.49998;3.797498797498797;7.5;3.75;6.25;5.999996666666666;5.0;4.934497092833093;0
7.91667;8.159632034632034;5.0;6.599999999999999;7.5;7.7083325;10.0;7.535259906926407;0
8.33334;4.747740005092947;5.0;4.111111111111112;7.1875;6.49999;5.0;5.623852223240812;0
9.000020000000001;8.966049382716049;5.625;7.25;5.625;8.583335;5.0;7.484878876543211;0
8.500020000000001;7.304131054131053;7.5;5.75;6.041666666666667;7.61111;5.0;6.837216877492878;0
8.500020000000001;9.848484848484848;8.125;8.416666666666668;6.875;8.388893333333334;5.0;8.18081096969697;1
9.50002;9.03988603988604;4.375;4.75;5.625;7.16666;5.0;6.641311207977208;0
8.500020000000001;8.825396825396826;7.5;2.75;6.041666666666667;7.333329999999999;10.0;6.985914031746033;0
9.000020000000001;6.002801120448179;6.25;6.133333333333333;6.041666666666667;6.888883333333332;5.0;6.434172224089636;0
9.50002;8.945512820512821;5.0;6.916666666666666;5.625;7.999995;5.0;7.284936897435898;0
7.50002;8.959435626102293;7.5;8.25;6.041666666666667;7.38889;5.0;7.523833791887125;0
7.91667;8.255555555555556;7.5;7.633333333333333;7.1875;6.83333;5.0;7.304860777777779;1
6.41668;8.32010582010582;5.0;5.75;5.625;6.94444;5.0;6.407077164021164;0
8.33334;7.676334422657952;7.5;6.111111111111111;7.5;7.249995;10.0;7.540822106753813;0
6.66666;7.391025641025641;5.0;2.888888888888889;5.15625;4.2916725;5.0;5.096608405982907;0
9.50002;8.964102564102564;7.5;8.783333333333333;5.625;7.33333;10.0;8.27865517948718;0
8.500020000000001;9.547511312217194;7.5;3.416666666666667;5.625;7.249995;10.0;7.205336595776773;0
6.83334;8.69949494949495;7.5;9.5;6.875;7.111109999999999;5.0;7.68295498989899;0
9.000020000000001;7.916666666666666;6.25;3.5;5.3125;6.000005;5.0;6.039586333333334;0
9.000020000000001;9.105915870621754;7.5;8.083333333333332;6.5625;8.333335;5.0;7.910768840791018;0
9.50002;6.518218623481781;6.875;6.0;4.6875;7.41666;10.0;7.093227724696356;0
8.500020000000001;8.243546576879911;8.125;8.8;5.625;7.41667;5.0;7.617045315375983;0
9.50002;8.722222222222221;5.0;6.5;4.375;6.388893333333333;5.0;6.709725111111111;0
8.500020000000001;8.103174603174603;7.5;5.0;6.458333333333334;6.777773333333331;5.0;6.722024920634921;0
8.75001;9.038690476190476;5.625;5.566666666666666;7.65625;7.7499975;5.0;7.174196928571429;1
7.50002;8.046833064949007;7.5;4.833333333333333;6.25;7.722223333333334;5.0;6.745479946323136;0
9.16668;8.535551619433198;5.625;7.055555555555554;7.65625;6.95833;5.0;7.254680434997751;1
10.00002;8.751352813852813;5.625;7.688888888888889;8.125;8.458337499999999;10.0;8.354717840548341;0
7.91667;7.10179526355997;7.5;5.611111111111112;7.65625;7.625;5.0;6.874873274934217;0
8.33334;6.047619047619048;7.5;4.033333333333333;7.5;7.944443333333334;5.0;6.438413142857143;1
9.50002;9.0;6.875;5.5;6.25;5.833336666666667;10.0;7.329169333333334;0
8.000020000000001;7.444444444444445;7.5;4.5;6.25;7.555556666666667;5.0;6.575002222222222;0
8.500020000000001;8.262108262108262;7.5;9.166666666666666;5.625;7.583335;5.0;7.664923985754986;0
0.0;3.724695192086496;7.5;3.722222222222223;6.40625;5.9583275;5.0;4.571673982861744;0
9.000020000000001;8.935626102292769;7.5;8.416666666666668;6.25;8.055556666666666;5.0;7.856571887125221;0
9.50002;8.944141289679047;4.375;6.766666666666666;2.8125;5.166655;5.0;6.344244591269144;0
9.50002;8.832425892317;5.625;4.75;3.333333333333333;6.777773333333334;5.0;6.417875178463399;0
