NOME;FASE;TURMA;ANO_INGRESSO;BOLSISTA;INDE;CG;CF;CT;PEDRA;DESTAQUE_IEG;DESTAQUE_IDA;DESTAQUE_IPV;IAA;IEG;IPS;IDA;NOTA_PORT;NOTA_MAT;NOTA_ING;QTD_AVAL;IPP;REC_AVA_1;REC_AVA_2;REC_AVA_3;REC_AVA_4;INDICADO_BOLSA;PONTO_VIRADA;IPV;IAN;NIVEL_IDEAL;ANO
ALUNO-246;1.0;R;2019.0;Não;6.736315131313132;574.0;140.0;10.0;Ágata;Melhorar: Melhorar a sua entrega de lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;7.473232323232324;6.875;5.25;5.0;5.5;;3.0;6.041666666666667;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;;Não;Não;7.5;5.0;Fase 3 (7º e 8º ano);2022
ALUNO-247;1.0;G;2021.0;Não;6.300611568922306;688.0;166.0;9.0;Ágata;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;10.00002;7.888471177944862;6.875;4.166666666666667;2.166666666666667;6.166666666666667;;2.0;4.6875;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;6.16666;5.0;Fase 2 (5º e 6º ano);2022
ALUNO-248;1.0;D;2022.0;Não;7.660716285714286;251.0;65.0;7.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;9.428571428571429;7.5;7.5;6.0;9.0;;3.0;6.25;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;;Não;Não;7.5;5.0;Fase 2 (5º e 6º ano);2022
ALUNO-250;0.0;R;2022.0;Não;8.361187897435897;51.0;12.0;1.0;Topázio;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;10.00002;9.087179487179489;6.25;9.25;9.666666666666666;8.833333333333334;;2.0;4.6875;Promovido de Fase;Mantido na Fase atual;;;Não;Não;8.0;10.0;ALFA  (2º e 3º ano);2022
ALUNO-251;2.0;U;2019.0;Não;8.011927248035915;139.0;18.0;1.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;8.000020000000001;7.906846240179574;7.5;7.833333333333334;9.333333333333334;6.333333333333333;;3.0;6.25;Promovido de Fase;Promovido de Fase;Promovido de Fase;;Não;Sim;8.444446666666668;10.0;Fase 2 (5º e 6º ano);2022
ALUNO-252;0.0;F;2021.0;Não;7.755061190476191;215.0;57.0;1.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9.000020000000001;9.285714285714285;7.5;8.666666666666666;8.666666666666666;8.666666666666666;;2.0;5.3125;Promovido de Fase;Mantido na Fase atual;;;Não;Não;7.416665;5.0;Fase 2 (5º e 6º ano);2022
ALUNO-253;0.0;T;2022.0;Não;7.416668;349.0;103.0;1.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;9.50002;10.0;6.875;6.0;7.666666666666667;4.333333333333333;;2.0;5.625;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;7.58333;5.0;Fase 1 (4º ano);2022
ALUNO-254;0.0;U;2022.0;Não;7.775658894736842;211.0;55.0;5.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Melhorar: Empenhar-se mais nas aulas e avaliações.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;9.50002;9.649122807017545;7.5;5.416666666666666;4.333333333333333;6.5;;2.0;5.625;Mantido na Fase atual;Mantido na Fase atual;;;Não;Não;7.499995;10.0;ALFA  (2º e 3º ano);2022
ALUNO-255;0.0;Z;2022.0;Não;8.397956545454546;48.0;10.0;3.0;Topázio;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Destaque: A sua boa integração aos Princípios Passos Mágicos.;10.00002;9.06060606060606;7.5;8.366666666666667;8.5;8.233333333333333;;2.0;5.625;Promovido de Fase;Mantido na Fase atual;;;Não;Não;8.0;10.0;ALFA  (2º e 3º ano);2022
ALUNO-256;1.0;D;2022.0;Não;8.000000666666667;144.0;36.0;5.0;Ametista;Destaque: A sua boa entrega das lições de casa.;Destaque: As suas boas notas na Passos Mágicos.;Melhorar: Integrar-se mais aos Princípios Passos Mágicos.;7.416679999999999;9.583333333333334;7.5;7.5;7.0;8.0;;3.0;6.25;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;;Não;Não;7.33333;10.0;Fase 1 (4º ano);2022
