INSTITUICAO_ENSINO_ALUNO;NOME;IDADE_ALUNO;ANOS_PM;FASE_TURMA;PONTO_VIRADA;INDE;INDE_CONCEITO;PEDRA;DESTAQUE_IEG;DESTAQUE_IDA;DESTAQUE_IPV;IAA;IEG;IPS;IDA;IPP;IPV;IAN;ANO
Escola Pública;ALUNO-274;16;2;5A;Não;6.113055666666667;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.91667;5.6;7.5;3.6666666666666665;7.291666666666667;7.444443333333334;5.0;2020
Escola Pública;ALUNO-275;13;3;3M;Não;6.399376666666667;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;10.00002;5.2;7.5;4.333333333333333;6.09375;5.666665;10.0;2020
Escola Pública;ALUNO-277;12;2;1E;Não;8.018889999999999;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.50002;8.4;5.625;10.0;7.708333333333334;7.777773333333332;5.0;2020
Escola Pública;ALUNO-278;17;1;5L;Não;8.240834333333334;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.75001;9.6;9.375;7.333333333333333;8.749999999999998;8.333333333333334;5.0;2020
Escola Pública;ALUNO-280;10;2;1F;Não;6.6462520000000005;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.500020000000001;6.2;5.0;6.5;6.5625;8.0;5.0;2020
Escola Pública;ALUNO-284;14;0;3A;Não;7.901875833333333;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.91667;9.9;7.5;7.666666666666667;7.96875;7.7500025;5.0;2020
Escola Pública;ALUNO-285;11;0;2D;Não;5.112502;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.50002;0.0;7.5;1.0;8.125;7.0;10.0;2020
Escola Pública;ALUNO-286;12;0;1G;Não;6.956252;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.000020000000001;6.0;6.875;7.5;7.1875;7.75;5.0;2020
Escola Pública;ALUNO-287;11;1;2H;Sim;8.302085;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.416679999999999;8.5;7.5;7.5;8.4375;8.833335;10.0;2020
Escola Pública;ALUNO-288;12;0;2C;Não;6.840002;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.000020000000001;7.7;7.5;3.75;8.333333333333334;7.833333333333334;5.0;2020
Escola Pública;ALUNO-292;15;1;4B;Sim;8.485558666666666;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;10.00002;9.9;6.875;7.666666666666667;8.958333333333332;9.44445;5.0;2020
Escola Pública;ALUNO-293;14;1;5F;Não;4.4162505;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;6.66667;1.3;4.375;0.0;7.1875;6.6666675;10.0;2020
Escola Pública;ALUNO-295;9;3;1D;Não;7.586252;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;8.9;4.375;7.25;4.6875;7.75;10.0;2020
Escola Pública;ALUNO-296;10;0;2B;Não;7.713335;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;8.9;7.5;5.0;7.5;7.666665;10.0;2020
Escola Pública;ALUNO-297;15;1;3J;Não;7.201112;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.33334;8.7;4.375;6.0;8.125;8.38889;5.0;2020
Escola Pública;ALUNO-298;11;2;1G;Não;6.3366690000000006;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.500020000000001;6.6;5.0;6.5;5.0;6.833335;5.0;2020
Estácio;ALUNO-299;19;4;8A;;8.388334;B;Ametista;Seu destaque em 2020: O seu bom engajamento nas ações de voluntariado.;Seu destaque em 2020: As suas boas notas na Faculdade.;;5.83334;10.0;5.625;9.2;0.0;0.0;10.0;2020
UNISA;ALUNO-300;18;1;8A;;6.776668000000001;C;Ágata;Ponto a melhorar em 2021: Melhorar o seu engajamento nas ações de voluntariado.;Seu destaque em 2020: As suas boas notas na Faculdade.;;9.16668;0.0;7.5;8.4;0.0;0.0;10.0;2020
Escola Pública;ALUNO-301;9;1;1J;Não;8.848335333333335;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;10.00002;9.2;7.5;9.5;7.916666666666668;7.833333333333333;10.0;2020
Rede Decisão/União;ALUNO-305;13;2;2J;Não;7.361390666666666;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.500020000000001;8.3;7.5;6.5;6.458333333333334;8.277776666666666;5.0;2020
Escola Pública;ALUNO-306;17;1;7B;Não;3.89146;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;6.66667;1.4;4.375;0.0;5.15625;4.95834;10.0;2020
Escola Pública;ALUNO-309;9;1;1G;Não;8.200002000000001;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.500020000000001;6.5;7.5;10.0;7.5;7.75;10.0;2020
Escola Pública;ALUNO-312;11;1;2J;Não;8.508890666666668;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;10.00002;9.1;7.5;8.5;5.833333333333333;8.277776666666666;10.0;2020
Escola Pública;ALUNO-313;8;0;0F;Não;7.900001;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.50002;10.0;7.5;6.5;7.5;6.749995;10.0;2020
Escola Pública;ALUNO-315;13;1;4A;Sim;9.461114666666669;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.16668;10.0;9.375;8.666666666666666;8.958333333333332;9.8889;10.0;2020
Escola Pública;ALUNO-316;11;0;2M;Não;6.427501;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.41668;7.7;7.5;0.0;8.125;7.916665;10.0;2020
Escola Pública;ALUNO-318;9;0;0B;Não;8.300001000000002;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.000020000000001;10.0;7.5;10.0;7.5;6.999995;5.0;2020
Escola Pública;ALUNO-319;11;1;2B;Não;7.1833350000000005;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;9.5;7.5;2.0;7.5;7.416665;10.0;2020
Escola Pública;ALUNO-321;16;1;6A;Não;4.9156245;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;4.58334;2.0;7.5;2.0;6.40625;6.3333275;10.0;2020
Rede Decisão/União;ALUNO-323;11;4;1B;Não;6.053335000000001;D;Quartzo;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.000020000000001;9.1;5.0;4.5;2.5;6.416665;5.0;2020
Escola Pública;ALUNO-324;16;1;6A;Não;8.064375833333333;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.75001;7.9;7.5;6.666666666666667;8.59375;8.333332500000001;10.0;2020
Escola Pública;ALUNO-328;14;0;3M;Não;6.858541000000001;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.5;4.1;7.5;9.0;7.96875;7.20833;5.0;2020
Rede Decisão/União;ALUNO-329;17;3;7B;Não;7.9835415;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.91667;8.6;7.5;7.0;7.96875;7.6249975;10.0;2020
Escola Pública;ALUNO-330;10;3;1F;Não;7.680002;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.000020000000001;7.9;7.5;8.5;7.5;8.0;5.0;2020
Escola Pública;ALUNO-332;12;1;1H;Não;8.258057333333333;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.50002;9.2;7.5;10.0;7.291666666666667;7.444443333333333;5.0;2020
Escola Pública;ALUNO-335;8;0;0B;Não;7.470837;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.500020000000001;10.0;4.375;9.5;2.5;5.166675;10.0;2020
Rede Decisão/União;ALUNO-337;14;4;5B;Sim;8.952223333333334;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.33334;9.9;10.0;7.0;9.166666666666666;9.111113333333332;10.0;2020
Escola Pública;ALUNO-338;17;2;7A;Não;5.9127081666666665;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.33334;2.1;7.5;4.333333333333333;7.34375;6.5416625;10.0;2020
Escola Pública;ALUNO-339;14;2;3C;Não;8.137224;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.16668;9.7;7.5;7.333333333333333;8.749999999999998;8.444446666666668;5.0;2020
Escola Pública;ALUNO-340;14;2;3C;Não;7.595277333333334;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.33334;9.4;7.5;7.0;8.541666666666666;6.888883333333333;5.0;2020
FIAP;ALUNO-341;19;2;8A;;9.096668;A;Topázio;Seu destaque em 2020: O seu bom engajamento nas ações de voluntariado.;Seu destaque em 2020: As suas boas notas na Faculdade.;;9.16668;10.0;7.5;9.2;0.0;0.0;10.0;2020
Rede Decisão/União;ALUNO-342;11;4;2B;Não;8.133752000000001;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;9.2;5.625;8.0;5.3125;8.5;10.0;2020
Escola Pública;ALUNO-343;16;0;3J;Sim;7.582500666666667;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.5;8.1;7.5;8.0;8.125;9.000003333333334;2.5;2020
Escola Pública;ALUNO-344;16;1;6A;Não;4.348541;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;0.0;3.8;5.0;0.0;6.71875;7.08333;10.0;2020
Escola Pública;ALUNO-345;8;1;0F;Não;8.5;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.500020000000001;10.0;7.5;10.0;7.5;5.74999;10.0;2020
Escola Pública;ALUNO-346;8;1;1A;Não;8.418752000000001;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;8.0;7.5;9.5;7.1875;7.75;10.0;2020
Escola Pública;ALUNO-348;9;1;0D;Não;7.79167;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.50002;10.0;6.25;9.5;2.5;7.83334;5.0;2020
Escola Pública;ALUNO-349;10;0;0C;Sim;9.200004;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.50002;10.0;7.5;10.0;10.0;10.00001;5.0;2020
Escola Pública;ALUNO-353;12;1;2G;Não;7.165556666666667;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;10.00002;8.3;6.25;6.0;7.916666666666668;6.944439999999998;5.0;2020
Escola Pública;ALUNO-354;15;4;4F;Não;4.656042;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.16668;3.4;4.375;0.0;7.96875;6.624995;5.0;2020
Escola Pública;ALUNO-355;11;1;1N;Não;6.407502000000001;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.50002;8.1;5.0;4.0;7.708333333333334;7.333333333333333;5.0;2020
Escola Pública;ALUNO-359;10;1;2F;Não;8.175279333333334;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.500020000000001;9.3;7.5;7.0;7.708333333333334;7.722219999999999;10.0;2020
Escola Pública;ALUNO-361;9;1;1F;Não;5.668335;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;4.3;5.625;0.0;8.125;7.666665;10.0;2020
Escola Pública;ALUNO-364;9;1;1B;Não;7.813335;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;9.9;4.375;7.5;5.625;7.166665;10.0;2020
Rede Decisão/União;ALUNO-365;15;3;5G;Sim;8.396044333333334;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.58335;9.6;5.0;6.666666666666667;8.59375;9.125005000000002;10.0;2020
Escola Pública;ALUNO-367;13;4;3F;Não;8.325834666666669;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.16668;9.4;7.5;6.666666666666667;8.125;8.166666666666668;10.0;2020
UNISA;ALUNO-368;18;1;8A;;8.695001000000001;B;Ametista;Seu destaque em 2020: O seu bom engajamento nas ações de voluntariado.;Seu destaque em 2020: As suas boas notas na Faculdade.;;8.75001;10.0;7.5;8.3;0.0;0.0;10.0;2020
Escola Pública;ALUNO-370;13;1;3G;Sim;8.613335;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.75001;9.9;7.5;6.5;8.75;9.166669999999998;10.0;2020
Rede Decisão/União;ALUNO-371;17;3;7B;Não;7.379792666666667;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.91667;7.8;5.0;7.333333333333333;5.78125;7.41667;10.0;2020
Escola Pública;ALUNO-372;12;3;2E;Não;6.816668000000001;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.000020000000001;8.0;5.0;6.0;7.5;6.83333;5.0;2020
Escola Pública;ALUNO-373;14;3;3M;Não;6.216666833333334;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.75001;5.0;5.625;5.666666666666667;8.125;6.6666625;5.0;2020
Rede Decisão/União;ALUNO-375;10;4;2B;Sim;9.33542;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;9.5;7.5;9.5;9.6875;9.58334;10.0;2020
Rede Decisão/União;ALUNO-377;11;3;3G;Não;7.412223000000001;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.58335;6.7;4.375;6.0;8.541666666666666;8.111106666666666;10.0;2020
Rede Decisão/União;ALUNO-378;15;4;5G;Não;7.969167;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;7.91667;9.7;3.75;7.0;8.125;8.25;10.0;2020
Escola Pública;ALUNO-379;14;2;3H;Não;5.6825;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;10.00002;6.6;5.0;4.166666666666667;5.625;4.833323333333333;5.0;2020
FIAP;ALUNO-380;19;4;8A;;5.3950000000000005;D;Quartzo;Ponto a melhorar em 2021: Melhorar o seu engajamento nas ações de voluntariado.;Seu destaque em 2020: As suas boas notas na Faculdade.;;0.0;0.0;4.375;8.8;0.0;0.0;10.0;2020
Escola Pública;ALUNO-381;9;1;0D;Não;6.443336;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.50002;9.8;2.5;8.5;2.5;4.16667;5.0;2020
FIAP;ALUNO-382;18;1;8A;;8.848334000000001;B;Ametista;Seu destaque em 2020: O seu bom engajamento nas ações de voluntariado.;Seu destaque em 2020: As suas boas notas na Faculdade.;;8.33334;10.0;6.875;9.1;0.0;0.0;10.0;2020
Escola Pública;ALUNO-383;10;1;0E;Não;7.918752;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.50002;10.0;6.875;7.5;7.8125;7.5;5.0;2020
Escola Pública;ALUNO-385;14;0;3R;Não;7.338057;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.75001;8.6;7.5;6.0;7.708333333333334;7.611113333333334;5.0;2020
Escola Pública;ALUNO-387;13;2;2R;Não;6.289445333333333;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.000020000000001;5.6;4.375;6.0;6.875;7.222216666666665;5.0;2020
Escola Pública;ALUNO-388;12;2;2C;Não;7.0419453333333335;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.000020000000001;8.8;7.5;5.5;6.875;7.222216666666665;5.0;2020
Escola Pública;ALUNO-389;16;0;5A;Sim;8.404168666666667;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.33334;9.0;7.5;9.333333333333334;8.541666666666666;9.000006666666666;5.0;2020
Escola Pública;ALUNO-390;15;1;5A;Não;7.425278666666666;B;Ametista;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.33334;5.3;7.5;7.666666666666667;7.708333333333334;7.38889;10.0;2020
Escola Pública;ALUNO-393;11;3;2F;Não;7.212501333333334;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.000020000000001;7.5;6.875;4.25;7.083333333333334;7.833329999999999;10.0;2020
Rede Decisão/União;ALUNO-394;15;4;4F;Não;5.934999666666666;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.5;5.3;5.0;6.333333333333333;6.25;6.166665;5.0;2020
Escola Pública;ALUNO-396;15;1;4A;Não;7.454722;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.5;9.1;7.5;8.0;8.125;6.11111;5.0;2020
Rede Decisão/União;ALUNO-397;12;4;3B;Não;7.687500833333334;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.16668;9.5;4.375;6.666666666666667;7.5;6.7499975;10.0;2020
Escola Pública;ALUNO-399;12;0;2P;Não;4.233888;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;0.0;4.6;6.875;0.0;7.708333333333334;6.777773333333332;5.0;2020
Escola Pública;ALUNO-400;10;1;1C;Não;4.864168666666667;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.000020000000001;4.3;3.75;0.0;7.291666666666667;7.5;5.0;2020
