INSTITUICAO_ENSINO_ALUNO;NOME;IDADE_ALUNO;ANOS_PM;FASE_TURMA;PONTO_VIRADA;INDE;INDE_CONCEITO;PEDRA;DESTAQUE_IEG;DESTAQUE_IDA;DESTAQUE_IPV;IAA;IEG;IPS;IDA;IPP;IPV;IAN;ANO
UNISA;ALUNO-1158;18;1;8A;;8.818335000000001;B;Ametista;Seu destaque em 2020: O seu bom engajamento nas ações de voluntariado.;Seu destaque em 2020: As suas boas notas na Faculdade.;;9.58335;10.0;7.5;8.4;0.0;0.0;10.0;2020
Escola Pública;ALUNO-1159;15;1;3F;Sim;8.552224666666667;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.16668;9.9;6.875;9.333333333333334;8.125;8.944449999999998;5.0;2020
Escola Pública;ALUNO-1161;14;2;3L;Não;6.2183348333333335;C;Ágata;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;10.00002;7.8;4.375;4.666666666666667;5.625;6.1249975;5.0;2020
Escola Pública;ALUNO-1165;13;1;2D;Não;8.080002;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;8.000020000000001;9.9;7.5;9.0;7.5;7.5;5.0;2020
Escola Pública;ALUNO-1166;13;3;2E;Não;5.6905573333333335;D;Quartzo;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.50002;6.3;5.0;4.0;6.25;5.277776666666666;5.0;2020
Escola Pública;ALUNO-1167;9;1;1F;Não;7.627502;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.50002;8.7;6.25;4.5;8.125;8.0;10.0;2020
Escola Pública;ALUNO-1168;11;0;1M;Não;8.043751;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;7.916679999999999;8.5;7.5;10.0;7.1875;7.916665;5.0;2020
Escola Pública;ALUNO-1170;9;1;1G;Não;8.178752;B;Ametista;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;8.000020000000001;8.3;7.5;9.0;7.1875;7.25;10.0;2020
Escola Pública;ALUNO-1171;12;1;3C;Sim;8.925003;A;Topázio;Seu destaque em 2020: A sua boa entrega das lições de casa.;Seu destaque em 2020: As suas boas notas na Passos Mágicos.;Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.;9.58335;9.5;6.25;8.333333333333334;8.749999999999998;9.500006666666668;10.0;2020
Escola Pública;ALUNO-1172;10;2;1D;Não;6.268752;C;Ágata;Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.;Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.;Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.;9.50002;5.0;7.5;4.5;7.1875;7.25;5.0;2020
