NOME;FASE;TURMA;INSTITUICAO_ENSINO_ALUNO;SINALIZADOR_INGRESSANTE;PEDRA;INDE;IAA;IEG;IPS;IDA;IPP;REC_EQUIPE_1;REC_EQUIPE_2;REC_EQUIPE_3;REC_EQUIPE_4;PONTO_VIRADA;IPV;IAN;NIVEL_IDEAL;DEFASAGEM;ANO
ALUNO-1160;4.0;A;Escola Pública;Ingressante;Ametista;7.13;7.9;5.8;7.5;5.8;8.0;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Mantido na Fase atual;Não;7.4;10.0;Nível 4 (9o ano);0.0;2021
ALUNO-1161;3.0;L;Escola Pública;Veterano;Ágata;6.458;7.9;6.1;3.8;6.9;5.8;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não avaliado;Não;8.1;5.0;Nível 5 (1o EM);-2.0;2021
ALUNO-1164;0.0;S;Escola Pública;Ingressante;Ágata;6.571;9.0;5.0;7.5;6.2;7.5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;7.2;5.0;Nível 1 (4o ano);-1.0;2021
ALUNO-1165;3.0;F;Escola Pública;Veterano;Ametista;7.765;7.9;8.6;7.5;7.2;7.7;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Não avaliado;Não;8.9;5.0;Nível 4 (9o ano);-1.0;2021
ALUNO-1166;2.0;E;Escola Pública;Veterano;Quartzo;3.979;0.0;2.1;6.9;3.5;5.4;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;5.7;5.0;Nível 4 (9o ano);-2.0;2021
ALUNO-1167;2.0;G;Escola Pública;Veterano;Ágata;6.294;10.0;6.3;7.5;1.8;6.9;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.2;10.0;Nível 2 (5o e 6o ano);0.0;2021
ALUNO-1168;1.0;M;Escola Pública;Veterano;Ametista;8.104;9.5;9.6;7.5;6.9;8.1;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Sim;9.0;5.0;Nível 3 (7o e 8o ano);-2.0;2021
ALUNO-1170;1.0;E;Escola Pública;Veterano;Quartzo;4.275;9.5;1.3;8.1;0.0;7.3;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;5.2;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-1171;3.0;F;Rede Decisão;Veterano;Topázio;9.025;8.8;8.9;6.3;9.2;9.2;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Não avaliado;Sim;9.9;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-1174;6.0;C;Rede Decisão;Veterano;Ágata;6.775;8.3;7.2;3.8;6.0;6.7;Mantido na Fase atual;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Não;6.3;10.0;Nível 6 (2o EM);0.0;2021
